id,created_at (UTC),event_type,event_action,actor,repo
5994775526,2017-06-02T22:50:08Z,IssueCommentEvent,created,acabunoc,mozilla/global-sprint
5994311343,2017-06-02T21:14:40Z,PushEvent,,acabunoc,mozilla/global-sprint
5994277002,2017-06-02T21:09:11Z,PushEvent,,acabunoc,mozilla/global-sprint
5993926338,2017-06-02T20:12:49Z,PushEvent,,acabunoc,mozilla/global-sprint
5993057487,2017-06-02T17:56:02Z,ForkEvent,,GeekyShiva,mozilla/global-sprint
5992544843,2017-06-02T16:35:55Z,IssueCommentEvent,created,KirstieJane,mozilla/global-sprint
5992541950,2017-06-02T16:35:28Z,IssueCommentEvent,created,KirstieJane,mozilla/global-sprint
5992503042,2017-06-02T16:29:37Z,IssuesEvent,opened,KirstieJane,mozilla/global-sprint
5991961950,2017-06-02T15:16:14Z,PushEvent,,zee-moz,mozilla/global-sprint
5991358163,2017-06-02T13:57:45Z,IssueCommentEvent,created,acabunoc,mozilla/global-sprint
5991234305,2017-06-02T13:40:57Z,IssueCommentEvent,created,acabunoc,mozilla/global-sprint
5991225741,2017-06-02T13:39:44Z,IssueCommentEvent,created,fuzz139,mozilla/global-sprint
5991221766,2017-06-02T13:39:10Z,IssuesEvent,opened,fuzz139,mozilla/global-sprint
5991221711,2017-06-02T13:39:10Z,IssueCommentEvent,created,auremoser,mozilla/global-sprint
5989203452,2017-06-02T07:55:13Z,WatchEvent,started,kiransmrt,mozilla/global-sprint
5988937000,2017-06-02T07:00:28Z,IssueCommentEvent,created,nifrasismail,mozilla/global-sprint
5988827829,2017-06-02T06:34:48Z,ForkEvent,,Nduta-jayne27,mozilla/global-sprint
5988638559,2017-06-02T05:46:12Z,ForkEvent,,zuma1,mozilla/global-sprint
5988513503,2017-06-02T05:06:26Z,ForkEvent,,waiseman,mozilla/global-sprint
5987952626,2017-06-02T02:05:00Z,IssueCommentEvent,created,Kevin-Mattheus-Moerman,mozilla/global-sprint
5987370961,2017-06-01T23:27:09Z,WatchEvent,started,kaizenagility,mozilla/global-sprint
5987351111,2017-06-01T23:22:34Z,PushEvent,,acabunoc,mozilla/global-sprint
5987215592,2017-06-01T22:52:30Z,PushEvent,,acabunoc,mozilla/global-sprint
5986740429,2017-06-01T21:28:38Z,IssueCommentEvent,created,stephwright,mozilla/global-sprint
5986498000,2017-06-01T20:53:07Z,ForkEvent,,jpwrobinson,mozilla/global-sprint
5986172357,2017-06-01T20:06:29Z,IssuesEvent,opened,teonbrooks,mozilla/global-sprint
5985671370,2017-06-01T18:53:52Z,IssueCommentEvent,created,chadsansing,mozilla/global-sprint
5985659708,2017-06-01T18:52:13Z,IssueCommentEvent,created,acabunoc,mozilla/global-sprint
5985642816,2017-06-01T18:49:52Z,ForkEvent,,GeekyShiva,mozilla/global-sprint
5985619823,2017-06-01T18:46:36Z,IssueCommentEvent,created,chadsansing,mozilla/global-sprint
5985257255,2017-06-01T17:56:17Z,IssueCommentEvent,created,deniselinn,mozilla/global-sprint
5985251984,2017-06-01T17:55:35Z,IssueCommentEvent,created,lesliePhD,mozilla/global-sprint
5984710446,2017-06-01T16:38:59Z,IssueCommentEvent,created,maggiemelo,mozilla/global-sprint
