Repo,Open Innovation,Web Literacy,Digital Inclusion,Privacy + Security,Decentralization,Community,OLT3
misaakidis/pakalolo,,,,1,1,Internet Policy & Advocacy,1
Chicago/opengrid,1,,,,,Hive Networks,1
lisahandsonline/Internet-Safety-Driving-Licence,,1,,1,,Teach the Web,1
werdnanoslen/mobile-map-io,1,,1,,,Hive Networks,1
jpwrobinson/OpenDerby,1,1,,,,Moziila Science,1
aletheia-foundation/admin,1,,1,1,1,Moziila Science,1
libscie/liberator,,,1,,,Moziila Science,1
shawnmgoulet/teachosm-for-high-school,,1,,,,,1
WikiToLearn/Hives-Network,1,1,1,,1,Curriculum on the Web,1
kitsunenosaraT/Mozilla-Italia-l10n-guide,,1,1,,1,Curriculum on the Web,1
opensnp/snpr,1,,,,,,
WhitakerLab/WhitakerLabProjectManagement,1,,,,,,
data-lessons/library-git,,1,,,,Curriculum on the Web,
data-lessons/library-shell,,1,,,,Curriculum on the Web,
data-lessons/library-openrefine,,1,,,,Curriculum on the Web,
data-lessons/library-python,,1,,,,Curriculum on the Web,
data-lessons/library-python-intro,,1,,,,Curriculum on the Web,
data-lessons/library-sql,,1,,,,Curriculum on the Web,
data-lessons/library-data-intro,,1,,,,Curriculum on the Web,
data-lessons/library-webscraping,,1,,,,Curriculum on the Web,
gibbonCode/GIBBON,1,,,,,Moziila Science,
openscilab/OpenEXP,1,,,,1,,
expfactory/expfactory-experiments,1,,,,1,Moziila Science,
expfactory/expfactory-python,1,,,,1,Moziila Science,
expfactory/experiments,1,,,,1,Moziila Science,
expfactory/expfactory.github.io,1,,,,1,Moziila Science,
opentechinstitute/990-scraper,1,,,,1,Internet Policy & Advocacy,
nikeshbalami/asknepal-theme,1,,,,,,
laderast/whyIScience,,,1,,,,
openSNP/opensnp.org-docker,1,,,,,,
