,Open Innovation,Web Literacy,Digital Inclusion,Privacy + Security,Decentralization,Community,Featured,OLT3
mozilla/global-sprint,,,,,,,,
WhitakerLab/BrainNetworksInPython,1,,,,,Moziila Science,1,
ODiogoSilva/TriFusion,1,,,,,Moziila Science,1,
OpenKnowledgeMaps/mozsprint,1,,1,,,Moziila Science,,
OpenKnowledgeMaps/project-website,1,,1,,,Moziila Science,,
OpenKnowledgeMaps/Headstart,1,,1,,,Moziila Science,,
nifrasismail/feedback,1,,,,1,,1,
westwork-org/westwork,,,,1,1,,,
ColperScience/global-sprint,1,,,,,Moziila Science,,
ColperScience/podcasting,1,,,,,Moziila Science,,
MrClan/RealTimePolls,1,,,,,,1,
opentechinstitute/piecewise,1,,,,,,,
dib-lab/osf-cli,1,,,,,Moziila Science,1,
JoPauls/OpenHeart-Project,1,,,,,Moziila Science,1,
acgetchell/CDT-plusplus,1,,,,,Moziila Science,1,1
mozillabvp/iFiction-builder,1,,,,,Mozilla Clubs,,
katjaq/BrainBoxTutorials,1,,,,,Moziila Science,1,
algobook/algobook,,1,,,,Mozilla Clubs,1,
codebuddiesdotorg/cb-v2-scratch,,1,,,,,1,
lappleapple/feedmereadmes,,1,,,,Teach the Web,1,
dasaderi/WhyNotOpenScience,1,,,,,Moziila Science,,
cliqz-oss/privacy-bot,,,,1,,,1,
maggiemelo/womentechmakers-tucson-hackathon-2017,,1,1,,,Women in Technology,,
cliqz-oss/web-ninja,,1,,1,,,1,
cliqz-oss/green-analytics,,,,1,,,,
Sage-Bionetworks/synapsePythonClient,1,,,,,Moziila Science,,
autonome/web-and-messaging,1,,1,,1,,,
edgi-govdata-archiving/web-monitoring,,1,,,,,1,
edgi-govdata-archiving/web-monitoring-processing,,1,,,,,1,
SamanthaHindle/preprint_JournalClub,1,,,,,Moziila Science,1,
cyverse/atmosphere,1,,1,,1,Moziila Science,,
cskumaresan/m2s,,1,,1,,,1,
peekdistrict/peekdistrict,,,,1,,Internet Policy & Advocacy,,
Carotejada/Maker-Spaces-para-pequenas-industrias,1,,1,,,Mozilla Clubs,,
edovio/Open_Student_Book,,,1,,,Moziila Science,1,
diaspora/diaspora,,,1,1,1,,,
MozillaFoundation/vr-curriculum-sprint,1,1,1,,,Curriculum on the Web,1,
p2pu/Awesome-Online-Courses,1,1,1,,,Curriculum on the Web,1,1
mozillascience/studyGroupEvents,,1,,,,Moziila Science,1,
cytoscape/cytoscape.js-euler,1,,,,,Moziila Science,1,
Open-Data-Open-Minds/odom_GlobalSprint2017,1,1,,,,Moziila Science,1,
open-omaha/omaha-parks,1,,1,,,,1,
dh-southernafrica/capacity-building,1,1,1,,,Moziila Science,1,
shillontheroad/makers-jam,,1,,,,Mozilla Clubs,1,
felixhenninger/lab.js,1,,,,,Moziila Science,1,
sparcopen/do-a-doathon,1,,,,,Moziila Science,,
resbazaz/studyGroup,1,,,,,Moziila Science,1,1
mozilla-neutrino/neutrino-dev,1,1,,,,,1,
elidron/womenobservatory,,1,,,,,1,1
pomochieng/Jilinde-App,1,1,1,,1,Women in Technology,1,1
TyJK/EchoBurst,,,1,,,Moziila Science,1,1
ContextLab/hypertools,1,,,,,Moziila Science,1,1
pransh15/decentralization-camp,,,,,1,Mozilla Clubs,1,
Obadha/baraza,1,,,,,Mozilla Clubs,1,
PiReel/PiReel-Core,1,,1,,,Mozilla Clubs,1,
oacore/oacore-mozsprint17,1,1,1,,1,Moziila Science,1,
